word,type,translation
survey,n.,调查，测验
add up,,合计
upset,a. & vt.,心烦意乱的；不安的；不适的；使不安；使心烦
ignore,vt.,不理睬；忽视
calm,vt. & vi & a.,使平静；使镇定；平静的，镇静的；沉着的
calm down,,平静下来，镇定下来
have got to,,不得不，必须
concern,vt. & n.,（使）担忧；涉及；关系到。担心；关注；（利害）关系
be concerned about,,关心；挂念
walk the dog,,遛狗
loose,a.,松的，松开的
vet,n.,兽医
go through,,经历，经受
Amsterdam,,阿姆斯特丹
Netherlands,,荷兰
Jewish,a.,犹太人的；犹太族的
German,a. & n.,德国的；德国人的；德语的。德国人，德语
Nazi,n.,纳粹党人
set down,,记下；放下；登记
series,n.,连续；系列
a series of,,一连串的；一系列；一套
outdoors,adv.,在户外；在野外
spellbind,vt.,迷住；迷惑
on purpose,,故意
in order to,,为了
dusk,n.,黄昏；傍晚
at dusk,,在黄昏时刻
thunder,vi. & n.,打雷；雷鸣。雷；雷声
entire,a.,整个的；完全的；全部的
entirely,adv.,完全地；全然地；整个地
power,n.,能力；力量；权力
face to face,,面对面地
curtain,n.,窗帘；门帘；幕布
dusty,a.,积满灰尘的
no longer / not ... any longer,,不再......
partner,n.,伙伴；合作者；合伙人
settle,v.,安家；定居；停留；使安居；安排；解决
suffer,vi. & vt.,遭受；忍受；经历
suffer from,,遭受；患病
loneliness,n.,孤单；寂寞
highway,n.,公路；大路；（美）高速公路
recover,vi. & vt.,痊愈；恢复；重新获得
get / be tired of,,对......厌烦
pack,vi. & vt. & n.,捆扎；包装；打行李。小包，包裹
pack (sth) up,,将（东西）装箱打包
suitcase,n.,手提箱；衣箱
overcoat,n.,大衣；外套
teenager,n.,十几岁的青少年
get along with,,与......相处；进展
gossip,vi. & n.,闲话；闲谈
fall in love,,相爱；爱上
exactly,adv.,确实如此；正是；确切地
disagree,vi.,不同意
grateful,a.,感激的；表示谢意的
dislike,n. & vt.,不喜欢；厌恶
join in,,参加；加入
tip,n. & vt.,提示；技巧；尖；尖端；小费。倾倒；翻倒
secondly,adv.,第二，其次
swap,vt.,交换
item,n.,项目；条款
