word,type,translation
subway,n.,地下人行道；〈美〉地铁
elevator,n.,电梯；升降梯
petrol,n.,〈英〉汽油（=〈美〉gasoline）
official,adj.,官方的；正式的；公务的
voyage,n.,航行；航海
conquer,vt.,征服；占领
because of,,因为；由于
native,adj. & n.,本国的；本地的；本地人；本国人
come up,,走近；上来；提出
apartment,n.,〈美〉公寓住宅；单元住宅
actually,adv.,实际上；事实上
base,vt. & n.,以...为基础；基部；基地；基础
at present,,现在；目前
gradual,adj.,逐渐的；逐步的
gradually,adv.,逐渐地；逐步地
Danish,n. & adj.,丹麦语；丹麦的；丹麦人的；丹麦语的
enrich,vt.,使富裕；充实；改善
vocabulary,n.,词汇；词汇量；词表
Shakespeare,n.,莎士比亚（英国剧作家、诗人）
make use of,,利用；使用
spelling,n.,拼写；拼法
latter,adj.,较后的；后半的；（两者中）后者的
identity,n.,本身；本体；身份
fluent,adj.,流利的；流畅的
fluently,adv.,流利地；流畅地
Singapore,n.,新加坡（东南亚国家）
Malaysia,n.,马来西亚（东南亚国家）；马来群岛
such as,,例如...；像这种的
frequent,adj.,频繁的；常见的
frequently,adv.,常常；频繁地
usage,n.,使用；用法；词语惯用法
command,n.&vt. ,命令；指令；掌握
request,n.&vt. ,请求；要求
dialect,n.,方言
expression,n.,词语；表示；表达
midwestern,adj.,中西部的；有中西部特征的
African,adj.,非洲的；非洲人的；非洲语言的
Spanish,adj. & n.,西班牙的；西班牙人的；西班牙语的；西班牙人；西班牙语
play a part (in),,扮演一个角色；参与
eastern,adj.,东方的；东部的
southeastern,adj.,东南方的，来自东南的
northwestern,adj.,西北方的；来自西北的
recognize,vt.,辨认出；承认；公认
lorry,n.,〈英〉卡车；（=〈美〉truck)
Houston,n.,休斯敦（美国城市）
Texas,n.,得克萨斯州（美国州名）
accent,n.,口音；腔调；重音
catfish,n.,鲶鱼
lightning,n.,闪电
straight,adv. & adj.,直接；挺直；直的，笔直的
block,n.,街区；块；木块；石块
cab,n.,出租
